ts_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
1.317,0.08,-0.03,0.92,-1.05,2.38,0.11
1.337,0.08,-0.04,0.92,-1.09,2.2,-0.24
1.357,0.09,-0.03,0.92,-1.17,2.3,-0.52
1.377,0.08,-0.04,0.92,-0.92,2.43,0.45
1.397,0.08,-0.03,0.91,-1.02,2.85,0.12
1.417,0.08,-0.03,0.92,-1.03,3.27,0.05
1.437,0.07,0.01,0.92,-1.38,2.68,1.51
1.457,0.09,-0.06,0.92,-1.07,2.16,0.6
1.477,0.08,-0.03,0.92,-0.76,2.21,-0.44
1.497,0.08,-0.03,0.92,-0.82,2.48,0.77
1.517,0.08,0,0.92,-0.71,3.18,3.5
1.537,0.08,-0.05,0.92,-1.44,3.64,2.28
1.557,0.09,-0.06,0.92,-1.05,3.24,0.72
1.577,0.08,-0.04,0.92,-0.92,2.21,0.15
1.597,0.08,-0.04,0.92,-1.02,2.25,0.04
1.617,0.08,-0.04,0.92,-0.98,2.36,-0.02
1.637,0.08,-0.04,0.92,-0.89,2.17,0
1.657,0.08,-0.04,0.92,-0.96,2.17,0.04
1.677,0.08,-0.03,0.92,-1.02,2.31,0.04
1.697,0.08,-0.03,0.91,-1.03,2.27,-0.04
1.717,0.08,-0.04,0.92,-1.02,2.19,0
1.737,0.08,-0.04,0.92,-0.93,2.15,-0.06
1.757,0.08,-0.04,0.92,-1.01,2.23,0
1.777,0.08,-0.03,0.92,-1.02,2.31,0
1.797,0.08,-0.03,0.92,-1.07,2.39,-0.01
1.817,0.08,-0.04,0.92,-1.06,2.32,0.02
1.837,0.08,-0.04,0.92,-1.05,2.34,0.02
1.857,0.08,-0.04,0.92,-0.97,2.34,0.02
1.878,0.08,-0.04,0.92,-0.94,2.25,0.02
1.897,0.08,-0.03,0.92,-1.03,2.3,-0.02
1.917,0.08,-0.04,0.92,-0.99,2.23,0.01
1.937,0.08,-0.03,0.92,-0.98,2.12,0
1.957,0.08,-0.03,0.92,-0.98,2.2,-0.02
